date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:31:23	4500/4500	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Dec%202015%2010:02:36%20GMT	http://127.0.0.1:8000/static/img/thumb_restaurant_6.jpg	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/thumb_restaurant_6.jpg	(from http://127.0.0.1:8000/)
09:31:24	5189/5189	---M--	404	error ('Not%20Found')	text/html		http://127.0.0.1:8000/list_page.html	quidely_landing/quidely_landing/127.0.0.1_8000/list_page.16.delayed	(from http://127.0.0.1:8000/)
09:31:27	34000/34000	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Dec%202015%2009:54:02%20GMT	http://127.0.0.1:8000/static/img/bg_office.jpg	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/bg_office.jpg	(from http://127.0.0.1:8000/)
09:31:27	5213/5213	---M--	404	error ('Not%20Found')	text/html		http://127.0.0.1:8000/submit_restaurant.html	quidely_landing/quidely_landing/127.0.0.1_8000/submit_restaurant.18.delayed	(from http://127.0.0.1:8000/)
09:31:28	16071/16071	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Dec%202016%2010:33:34%20GMT	http://127.0.0.1:8000/static/img/submit_restaurant.jpg	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/submit_restaurant.jpg	(from http://127.0.0.1:8000/)
09:31:28	5201/5201	---M--	404	error ('Not%20Found')	text/html		http://127.0.0.1:8000/submit_driver.html	quidely_landing/quidely_landing/127.0.0.1_8000/submit_driver.1a.delayed	(from http://127.0.0.1:8000/)
09:31:30	16071/16071	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Dec%202016%2010:34:02%20GMT	http://127.0.0.1:8000/static/img/delivery.jpg	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/delivery.jpg	(from http://127.0.0.1:8000/)
09:31:31	9588/9588	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Nov%202015%2010:15:20%20GMT	http://127.0.0.1:8000/static/img/cards.png	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/cards.png	(from http://127.0.0.1:8000/)
09:31:36	4531/4531	---M--	200	added ('OK')	application/javascript	date:Mon,%2026%20Jun%202017%2008:49:53%20GMT	http://127.0.0.1:8000/static/js/functions.js	quidely_landing/quidely_landing/127.0.0.1_8000/static/js/functions.js	(from http://127.0.0.1:8000/)
09:31:39	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2016%20Jun%202015%2008:56:18%20GMT	http://127.0.0.1:8000/static/fonts/glyphicons-halflings-regular.eot	quidely_landing/quidely_landing/127.0.0.1_8000/static/fonts/glyphicons-halflings-regular.eot	(from http://127.0.0.1:8000/static/css/bootstrap.min.css)
09:31:40	18028/18028	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2016%20Jun%202015%2008:56:18%20GMT	http://127.0.0.1:8000/static/fonts/glyphicons-halflings-regular.woff2	quidely_landing/quidely_landing/127.0.0.1_8000/static/fonts/glyphicons-halflings-regular.woff2	(from http://127.0.0.1:8000/static/css/bootstrap.min.css)
09:31:43	85577/85577	---M--	200	added ('OK')	application/javascript	date:Mon,%2022%20Aug%202016%2006:22:50%20GMT	http://127.0.0.1:8000/static/js/jquery-2.2.4.min.js	quidely_landing/quidely_landing/127.0.0.1_8000/static/js/jquery-2.2.4.min.js	(from http://127.0.0.1:8000/)
09:31:44	23424/23424	---M--	200	added ('OK')	application/font-woff	date:Tue,%2016%20Jun%202015%2008:56:18%20GMT	http://127.0.0.1:8000/static/fonts/glyphicons-halflings-regular.woff	quidely_landing/quidely_landing/127.0.0.1_8000/static/fonts/glyphicons-halflings-regular.woff	(from http://127.0.0.1:8000/static/css/bootstrap.min.css)
09:31:44	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2016%20Jun%202015%2008:56:18%20GMT	http://127.0.0.1:8000/static/fonts/glyphicons-halflings-regular.eot?	quidely_landing/quidely_landing/127.0.0.1_8000/static/fonts/glyphicons-halflings-regulard41d.eot	(from http://127.0.0.1:8000/static/css/bootstrap.min.css)
09:31:46	108738/108738	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2016%20Jun%202015%2008:56:18%20GMT	http://127.0.0.1:8000/static/fonts/glyphicons-halflings-regular.svg	quidely_landing/quidely_landing/127.0.0.1_8000/static/fonts/glyphicons-halflings-regular.svg	(from http://127.0.0.1:8000/static/css/bootstrap.min.css)
09:31:48	85437/85437	---M--	200	added ('OK')	application/javascript	date:Wed,%2019%20Sep%202018%2009:08:11%20GMT	http://127.0.0.1:8000/static/js/common_scripts_min.js	quidely_landing/quidely_landing/127.0.0.1_8000/static/js/common_scripts_min.js	(from http://127.0.0.1:8000/)
09:31:48	1689/1689	---MC-	404	error ('Not%20Found')	text/html		http://127.0.0.1:8000/static/img/fix_ie_9_menu.png	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/fix_ie_9_menu.25.delayed	(from http://127.0.0.1:8000/static/css/menu.css)
09:31:50	805/805	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2017%20Nov%202015%2010:12:38%20GMT	http://127.0.0.1:8000/static/img/arrow_down.svg	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/arrow_down.svg	(from http://127.0.0.1:8000/static/css/style.css)
09:31:50	45404/45404	---M--	200	added ('OK')	application/font-sfnt	date:Tue,%2016%20Jun%202015%2008:56:18%20GMT	http://127.0.0.1:8000/static/fonts/glyphicons-halflings-regular.ttf	quidely_landing/quidely_landing/127.0.0.1_8000/static/fonts/glyphicons-halflings-regular.ttf	(from http://127.0.0.1:8000/static/css/bootstrap.min.css)
09:31:50	927/927	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2027%20Nov%202015%2014:45:58%20GMT	http://127.0.0.1:8000/static/img/search.svg	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/search.svg	(from http://127.0.0.1:8000/static/css/style.css)
09:31:51	134/134	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Nov%202015%2015:26:16%20GMT	http://127.0.0.1:8000/static/img/dots_vert.png	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/dots_vert.png	(from http://127.0.0.1:8000/static/css/style.css)
09:31:52	2540/2540	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Oct%202020%2016:32:13%20GMT	http://127.0.0.1:8000/static/img/icon_home_1.svg	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/icon_home_1.svg	(from http://127.0.0.1:8000/static/css/style.css)
09:31:53	5105/5105	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Oct%202020%2016:32:13%20GMT	http://127.0.0.1:8000/static/img/icon_home_2.svg	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/icon_home_2.svg	(from http://127.0.0.1:8000/static/css/style.css)
09:31:54	3012/3012	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Oct%202020%2016:32:13%20GMT	http://127.0.0.1:8000/static/img/icon_home_3.svg	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/icon_home_3.svg	(from http://127.0.0.1:8000/static/css/style.css)
09:31:55	2649/2649	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Oct%202020%2016:32:13%20GMT	http://127.0.0.1:8000/static/img/icon_home_4.svg	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/icon_home_4.svg	(from http://127.0.0.1:8000/static/css/style.css)
09:31:56	5713/5713	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2029%20Nov%202015%2011:51:38%20GMT	http://127.0.0.1:8000/static/img/time_panel.svg	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/time_panel.svg	(from http://127.0.0.1:8000/static/css/style.css)
09:31:57	3432/3432	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Nov%202015%2014:03:56%20GMT	http://127.0.0.1:8000/static/img/ribbon_popular.png	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/ribbon_popular.png	(from http://127.0.0.1:8000/static/css/style.css)
09:31:58	20433/20433	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Dec%202015%2009:59:00%20GMT	http://127.0.0.1:8000/static/img/features-intro-01.jpg	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/features-intro-01.jpg	(from http://127.0.0.1:8000/static/css/style.css)
09:31:59	1333/1333	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Oct%202020%2015:26:15%20GMT	http://127.0.0.1:8000/static/img/paypal.svg	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/paypal.svg	(from http://127.0.0.1:8000/static/css/style.css)
09:32:00	13744/13744	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Dec%202016%2010:35:39%20GMT	http://127.0.0.1:8000/static/img/delivery_2.jpg	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/delivery_2.jpg	(from http://127.0.0.1:8000/static/css/style.css)
09:32:02	12663/12663	---M--	200	added ('OK')	image/png	date:Mon,%2031%20Mar%202014%2013:36:28%20GMT	http://127.0.0.1:8000/static/img/ribbon.png	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/ribbon.png	(from http://127.0.0.1:8000/static/css/style.css)
09:32:08	59572/59572	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2004%20Oct%202013%2000:50:02%20GMT	http://127.0.0.1:8000/static/css/elegant_font/fonts/ElegantIcons.eot	quidely_landing/quidely_landing/127.0.0.1_8000/static/css/elegant_font/fonts/ElegantIcons.eot	(from http://127.0.0.1:8000/static/css/elegant_font/elegant_font.min.css)
09:32:14	277297/277297	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2004%20Oct%202013%2000:50:02%20GMT	http://127.0.0.1:8000/static/css/elegant_font/fonts/ElegantIcons.svg	quidely_landing/quidely_landing/127.0.0.1_8000/static/css/elegant_font/fonts/ElegantIcons.svg	(from http://127.0.0.1:8000/static/css/elegant_font/elegant_font.min.css)
09:32:19	63664/63664	---M--	200	added ('OK')	application/font-woff	date:Fri,%2004%20Oct%202013%2000:50:02%20GMT	http://127.0.0.1:8000/static/css/elegant_font/fonts/ElegantIcons.woff	quidely_landing/quidely_landing/127.0.0.1_8000/static/css/elegant_font/fonts/ElegantIcons.woff	(from http://127.0.0.1:8000/static/css/elegant_font/elegant_font.min.css)
09:32:19	59572/59572	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2004%20Oct%202013%2000:50:02%20GMT	http://127.0.0.1:8000/static/css/elegant_font/fonts/ElegantIcons.eot?	quidely_landing/quidely_landing/127.0.0.1_8000/static/css/elegant_font/fonts/ElegantIconsd41d.eot	(from http://127.0.0.1:8000/static/css/elegant_font/elegant_font.min.css)
09:32:20	59388/59388	---M--	200	added ('OK')	application/font-sfnt	date:Fri,%2004%20Oct%202013%2000:50:02%20GMT	http://127.0.0.1:8000/static/css/elegant_font/fonts/ElegantIcons.ttf	quidely_landing/quidely_landing/127.0.0.1_8000/static/css/elegant_font/fonts/ElegantIcons.ttf	(from http://127.0.0.1:8000/static/css/elegant_font/elegant_font.min.css)
09:32:26	824048/824048	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2029%20Dec%202013%2010:48:06%20GMT	http://127.0.0.1:8000/static/css/fontello/font/fontello.svg?32974303	quidely_landing/quidely_landing/127.0.0.1_8000/static/css/fontello/font/fontello4508.svg	(from http://127.0.0.1:8000/static/css/fontello/css/fontello.min.css)
09:32:30	1668/1668	---MC-	404	error ('Not%20Found')	text/html		http://127.0.0.1:8000/static/img/loader.gif	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/loader.3b.delayed	(from http://127.0.0.1:8000/static/css/magnific-popup.css)
09:32:32	15822/15822	---M--	200	added ('OK')	text/css	date:Tue,%2029%20Sep%202015%2008:23:36%20GMT	http://127.0.0.1:8000/static/layerslider/css/layerslider.css	quidely_landing/quidely_landing/127.0.0.1_8000/static/layerslider/css/layerslider.css	(from http://127.0.0.1:8000/index_with_slider/)
09:32:39	29157/29157	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Dec%202015%2011:56:28%20GMT	http://127.0.0.1:8000/static/img/slides/slide_1.jpg	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/slides/slide_1.jpg	(from http://127.0.0.1:8000/index_with_slider/)
09:32:40	5243/5243	---M--	404	error ('Not%20Found')	text/html		http://127.0.0.1:8000/index_with_slider/list_page.html	quidely_landing/quidely_landing/127.0.0.1_8000/index_with_slider/list_page.3e.delayed	(from http://127.0.0.1:8000/index_with_slider/)
09:32:48	29157/29157	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Dec%202015%2011:56:54%20GMT	http://127.0.0.1:8000/static/img/slides/slide_4.jpg	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/slides/slide_4.jpg	(from http://127.0.0.1:8000/index_with_slider/)
09:32:54	29157/29157	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Dec%202015%2011:56:36%20GMT	http://127.0.0.1:8000/static/img/slides/slide_2.jpg	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/slides/slide_2.jpg	(from http://127.0.0.1:8000/index_with_slider/)
09:33:00	29157/29157	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Dec%202015%2011:56:44%20GMT	http://127.0.0.1:8000/static/img/slides/slide_3.jpg	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/slides/slide_3.jpg	(from http://127.0.0.1:8000/index_with_slider/)
09:33:01	5249/5249	---M--	404	error ('Not%20Found')	text/html		http://127.0.0.1:8000/index_with_slider/detail_page.html	quidely_landing/quidely_landing/127.0.0.1_8000/index_with_slider/detail_page.42.delayed	(from http://127.0.0.1:8000/index_with_slider/)
09:33:02	5267/5267	---M--	404	error ('Not%20Found')	text/html		http://127.0.0.1:8000/index_with_slider/submit_restaurant.html	quidely_landing/quidely_landing/127.0.0.1_8000/index_with_slider/submit_restaurant.43.delayed	(from http://127.0.0.1:8000/index_with_slider/)
09:33:03	5255/5255	---M--	404	error ('Not%20Found')	text/html		http://127.0.0.1:8000/index_with_slider/submit_driver.html	quidely_landing/quidely_landing/127.0.0.1_8000/index_with_slider/submit_driver.44.delayed	(from http://127.0.0.1:8000/index_with_slider/)
09:33:13	53010/53010	---M--	200	added ('OK')	application/javascript	date:Thu,%2018%20Sep%202014%2022:49:42%20GMT	http://127.0.0.1:8000/static/layerslider/js/greensock.js	quidely_landing/quidely_landing/127.0.0.1_8000/static/layerslider/js/greensock.js	(from http://127.0.0.1:8000/index_with_slider/)
09:33:18	21097/21097	---M--	200	added ('OK')	application/javascript	date:Thu,%2014%20Aug%202014%2016:02:22%20GMT	http://127.0.0.1:8000/static/layerslider/js/layerslider.transitions.js	quidely_landing/quidely_landing/127.0.0.1_8000/static/layerslider/js/layerslider.transitions.js	(from http://127.0.0.1:8000/index_with_slider/)
09:33:20	320576/320576	---M--	200	added ('OK')	application/font-woff	date:Sun,%2029%20Dec%202013%2010:48:08%20GMT	http://127.0.0.1:8000/static/css/fontello/font/fontello.woff?32974303	quidely_landing/quidely_landing/127.0.0.1_8000/static/css/fontello/font/fontello4508.woff	(from http://127.0.0.1:8000/static/css/fontello/css/fontello.min.css)
09:33:21	846/846	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Oct%202020%2006:40:50%20GMT	http://127.0.0.1:8000/static/css/jquery.cookiebar.css	quidely_landing/quidely_landing/127.0.0.1_8000/static/css/jquery.cookiebar.css	(from http://127.0.0.1:8000/index_with_cookie_bar/)
09:33:22	5261/5261	---M--	404	error ('Not%20Found')	text/html		http://127.0.0.1:8000/index_with_cookie_bar/detail_page.html	quidely_landing/quidely_landing/127.0.0.1_8000/index_with_cookie_bar/detail_page.49.delayed	(from http://127.0.0.1:8000/index_with_cookie_bar/)
09:33:23	5255/5255	---M--	404	error ('Not%20Found')	text/html		http://127.0.0.1:8000/index_with_cookie_bar/list_page.html	quidely_landing/quidely_landing/127.0.0.1_8000/index_with_cookie_bar/list_page.4a.delayed	(from http://127.0.0.1:8000/index_with_cookie_bar/)
09:33:24	5279/5279	---M--	404	error ('Not%20Found')	text/html		http://127.0.0.1:8000/index_with_cookie_bar/submit_restaurant.html	quidely_landing/quidely_landing/127.0.0.1_8000/index_with_cookie_bar/submit_restaurant.4b.delayed	(from http://127.0.0.1:8000/index_with_cookie_bar/)
09:33:25	5267/5267	---M--	404	error ('Not%20Found')	text/html		http://127.0.0.1:8000/index_with_cookie_bar/submit_driver.html	quidely_landing/quidely_landing/127.0.0.1_8000/index_with_cookie_bar/submit_driver.4c.delayed	(from http://127.0.0.1:8000/index_with_cookie_bar/)
